Date;ID;Short_ID;Born date;Age;Gen;ATFs;Sex;Weight;ATF;ColorCode;Sex
44589;290219687;9687;;3;+;NoED;Hembra;11;PSD95-6ZF-NoED;#E69F00;Female
44589;290219691;9691;;3;+;NoED;Hembra;11;PSD95-6ZF-NoED;#E69F00;Female
44226;286992078;2078;44204;3;+;NoED;Macho;11;PSD95-6ZF-NoED;#E69F00;Male
44226;289838226;8226;44204;3;+;NoED;Macho;11;PSD95-6ZF-NoED;#E69F00;Male
44226;289838930;8930;44204;3;+;VP64;Hembra;11;PSD95-6ZF-VP64;#009E73;Female
44582;290219548;9548;44561;3;+;VP64;Hembra;11;PSD95-6ZF-VP64;#009E73;Female
44301;289756897;6897;;3;-;NI;Hembra*;11;HTT-NI;#0C7BDC;Female
44226;287523931;3931;44202;3;+;NoED;Hembra;12;PSD95-6ZF-NoED;#E69F00;Female
44589;290219687;9687;;3;+;NoED;Hembra;12;PSD95-6ZF-NoED;#E69F00;Female
44582;290219162;9162;44561;3;+;NoED;Hembra;12;PSD95-6ZF-NoED;#E69F00;Female
44582;290219143;9143;44561;3;+;VP64;Hembra;12;PSD95-6ZF-VP64;#009E73;Female
44226;289838342;8342;44204;3;+;VP64;Macho;12;PSD95-6ZF-VP64;#009E73;Male
44301;289838244;8244;;3;+;NoED;Hembra*;12;PSD95-6ZF-NoED;#E69F00;Female
44589;290219495;9495;;3;-;NI;Hembra;13;HTT-NI;#0C7BDC;Female
44582;290219714;9714;44561;3;-;NI;Hembra;13;HTT-NI;#0C7BDC;Female
44226;287556747;6747;44204;3;+;NI;Macho;13;HTT+NI;#994F00;Male
44589;290219917;9917;;3;+;NI;Hembra;13;HTT+NI;#994F00;Female
44582;290219965;9965;44561;3;+;NI;Macho;13;HTT+NI;#994F00;Male
44226;289838839;8839;44202;3;+;NoED;Macho;13;PSD95-6ZF-NoED;#E69F00;Male
44226;287257800;7800;44202;3;+;VP64;Macho;13;PSD95-6ZF-VP64;#009E73;Male
44226;289838910;8910;44202;3;-;NI;hembra;14;HTT-NI;#0C7BDC;Female
44589;290219686;9686;;3;-;NI;Macho;14;HTT-NI;#0C7BDC;Male
44589;290219220;9220;;3;-;NI;Hembra;14;HTT-NI;#0C7BDC;Female
44589;290219312;9312;;3;-;NI;Hembra;14;HTT-NI;#0C7BDC;Female
44589;290219368;9368;;3;-;NI;Macho;14;HTT-NI;#0C7BDC;Male
44589;290219137;9137;;3;+;NI;Macho;14;HTT+NI;#994F00;Male
44589;290219273;9273;;3;+;VP64;Hembra;14;PSD95-6ZF-VP64;#009E73;Female
44589;290220002;2;;3;+;VP64;Macho;14;PSD95-6ZF-VP64;#009E73;Male
44589;290219115;9115;;3;-;NI;Macho;15;HTT-NI;#0C7BDC;Male
44589;290219261;9261;;3;-;NI;Hembra;15;HTT-NI;#0C7BDC;Female
44589;290219316;9316;;3;-;NI;Hembra;15;HTT-NI;#0C7BDC;Female
44589;290219172;9172;;3;+;NoED;Macho;15;PSD95-6ZF-NoED;#E69F00;Male
44589;290219416;9416;;3;+;VP64;Macho;16;PSD95-6ZF-VP64;#009E73;Male
44589;290219543;9543;;3;-;NI;Macho;17;HTT-NI;#0C7BDC;Male
44301;289838791;8791;;3;-;NI;Hembra*;20;HTT-NI;#0C7BDC;Female
44743;290219098;9098;44713;4;-;NI;Hembra;9;HTT-NI;#0C7BDC;Female
44239;6362;6362;44212;4;+;NoED;Macho;9;PSD95-6ZF-NoED;#E69F00;Male
44295;289838879;8879;;4;+;NoED;Macho*;10;PSD95-6ZF-NoED;#E69F00;Male
44239;7139;7139;44212;4;+;VP64;Hembra;10;PSD95-6ZF-VP64;#009E73;Female
44295;289838941;8941;;4;+;VP64;Hembra*;11;PSD95-6ZF-VP64;#009E73;Female
44743;290219782;9782;44713;4;+;NI;Hembra;12;HTT+NI;#994F00;Female
44743;290219921;9921;44713;4;+;NI;Hembra;12;HTT+NI;#994F00;Female
44295;287650977;977;;4;+;NoED;Hembra;12;PSD95-6ZF-NoED;#E69F00;Female
