Length_neck_nano;Length_neck_micro;Length_spine_nano;Length_spine_micro;Ratio;Minor_axis;Major_axis;Aspect_Ratio;Perimeter_Head_nano;Perimeter_Head_micro;Area_Head_sqrnano;Area_Head_sqrmicro;Smallest_neckwidth;Median_neckwidth;Average_neckwidth;# Neckline;Short_ATF;File;ATF;Symbol;ColorCode
131,188;0,131188;186,556;0,186556;70,321;180,307;266,508;0,677;749,775;0,749775;34766,995;0,034766995;334,873;406,564;406,564;1;VP64;May032022_MAX_C2-VP64-M15D-3X-3;PSD95-6ZF-VP64;23;#009E73
67,3;0,0673;185,623;0,185623;36,257;146,498;384,565;0,381;969,378;0,969378;38559,235;0,038559235;288,574;288,574;288,574;1;NoED;Jun142022_MAX_C2-NoED-M13-3X-1;PSD95-6ZF-NoED;23;#009E73
120,944;0,120944;185,192;0,185192;65,308;107,798;184,456;0,584;498,583;0,498583;15086,112;0,015086112;796,349;843,812;843,812;1;NoED;May032022_MAX_C2-NoED-M19-3X-1;PSD95-6ZF-NoED;22;#E69F00
100,495;0,100495;184,678;0,184678;54,416;104,951;378,918;0,277;1057,136;1,057136;33618,255;0,033618255;406,513;50139,791;50139,791;1;NoED;NoED_Jun142022_C2M53X1;PSD95-6ZF-NoED;23;#009E73
139,528;0,139528;180,725;0,180725;77,205;167,472;286,93;0,584;776,821;0,776821;36213,273;0,036213273;225,873;228,869;228,869;1;VP64;Jun142022_MAX_C2-VP64-M5-3X-3;PSD95-6ZF-VP64;22;#E69F00
77,664;0,077664;172,776;0,172776;44,951;157,419;273,677;0,575;763,462;0,763462;33226,999;0,033226999;345,561;361,85;361,85;1;NoED;May032022_MAX_C2-NoED-M21-3X-2;PSD95-6ZF-NoED;22;#E69F00
84,139;0,084139;168,128;0,168128;50,045;183,331;397,683;0,461;985,743;0,985743;53317,463;0,053317463;213,626;441,608;441,608;1;NoED;Jun142022_MAX_C2-NoED-M10-3X-1;PSD95-6ZF-NoED;23;#009E73
28,302;0,028302;162,865;0,162865;17,377;22,628;292,905;0,77;1158,699;1,158699;10582,227;0,010582227;229,635;229,635;229,635;2;VP64;VP64_C25M1C163X5XCSpines;PSD95-6ZF-VP64;23;#009E73
64,147;0,064147;158,999;0,158999;40,344;136,317;158,02;0,863;492,075;0,492075;18213,789;0,018213789;7209,187;7209,187;7209,187;1;NoED;Jun142022_MAX_C2-NoED-M14-3X-2;PSD95-6ZF-NoED;23;#009E73
112,728;0,112728;151,862;0,151862;74,231;261,26;418,593;0,624;1225,669;1,225669;84267,92;0,08426792;219,55;228,815;228,815;2;NoED;NoED_1M1C263X5XS1spines;PSD95-6ZF-NoED;22;#E69F00
106,253;0,106253;147,674;0,147674;71,951;98,434;151,502;0,65;483,751;0,483751;14706,052;0,014706052;189,845;189,845;189,845;1;VP64;May032022_MAX_C2-VP64-M15D-3X-1;PSD95-6ZF-VP64;22;#E69F00
69,143;0,069143;147,398;0,147398;46,909;246,353;396,84;0,621;1113,835;1,113835;68325,584;0,068325584;400,121;400,121;400,121;1;NoED;May032022_MAX_C2-NoED-M19-3X-1;PSD95-6ZF-NoED;22;#E69F00
95,923;0,095923;145,553;0,145553;65,903;176,327;291,316;0,605;760,004;0,760004;36885,925;0,036885925;178,39;204,874;204,874;1;VP64;May032022_MAX_C2-VP64-M15-3X-2;PSD95-6ZF-VP64;22;#E69F00
144,308;0,144308;144,308;0,144308;100;186,709;337,24;0,554;990,736;0,990736;51518,254;0,051518254;167,112;251,812;251,812;1;NoED;May032022_MAX_C2-NoED-M21-3X-1;PSD95-6ZF-NoED;22;#E69F00
87,851;0,087851;143,738;0,143738;61,119;129,339;192,169;0,673;583,846;0,583846;22342,018;0,022342018;467,086;467,086;467,086;1;NoED;May032022_MAX_C2-NoED-M19-3X-2;PSD95-6ZF-NoED;23;#009E73
103,281;0,103281;136,765;0,136765;75,517;121,497;190,934;0,636;586,429;0,586429;21149,678;0,021149678;185,175;185,175;185,175;1;NoED;May032022_MAX_C2-NoED-M18-3X-1;PSD95-6ZF-NoED;23;#009E73
88,771;0,088771;121,5;0,1215;73,063;122,216;474,526;0,258;1115,83;1,11583;42083,575;0,042083575;412,538;443,181;443,181;1;NoED;NoED_Jun142022_C2M53X1;PSD95-6ZF-NoED;23;#009E73
90,682;0,090682;113,209;0,113209;80,102;204,64;357,278;0,571;965,283;0,965283;52145,998;0,052145998;122,708;220,548;220,548;2;VP64;VP64_C2500M33XSpines;PSD95-6ZF-VP64;22;#E69F00
22,261;0,022261;58,217;0,058217;38,238;54,76;306,417;0,176;912,6;0,9126;6897,946;0,006897946;140,201;140,201;140,201;2;VP64;VP64_C25M1C163X5XCSpines;PSD95-6ZF-VP64;22;#E69F00
